"base_!","!"
"isomath_\120773","\mathsfbfit{\vartheta}"
"unicode-math_\120773","\mbfitsansvartheta"
"unicode-math_\120774","\mbfitsansvarkappa"
"isomath_\120775","\mathsfbfit{\phi}"
"unicode-math_\120775","\mbfitsansvarphi"
"isomath_\120776","\mathsfbfit{\varrho}"
"unicode-math_\120776","\mbfitsansvarrho"
"isomath_\120777","\mathsfbfit{\varpi}"
"unicode-math_\120777","\mbfitsansvarpi"
"unicode-math_\120778","\mbfDigamma"
"unicode-math_\120779","\mbfdigamma"
"base_\120782","\mathbf{0}"
"base_\120783","\mathbf{1}"
"base_\120784","\mathbf{2}"
"base_\120785","\mathbf{3}"
"base_\120786","\mathbf{4}"
"base_\120787","\mathbf{5}"
"base_\120788","\mathbf{6}"
"base_\120789","\mathbf{7}"
"base_\120790","\mathbf{8}"
"base_\120791","\mathbf{9}"
"bbold_\120792","\mathbb{0}"
"unicode-math_\120792","\Bbbzero"
"bbold_\120793","\mathbb{1}"
"fourier_\120793","\mathbb{1}"
"dsfont_\120793","\mathds{1}"
"unicode-math_\120793","\Bbbone"
"bbold_\120794","\mathbb{2}"
"unicode-math_\120794","\Bbbtwo"
"bbold_\120795","\mathbb{3}"
"unicode-math_\120795","\Bbbthree"
"bbold_\120796","\mathbb{4}"
"unicode-math_\120796","\Bbbfour"
"bbold_\120797","\mathbb{5}"
"unicode-math_\120797","\Bbbfive"
"bbold_\120798","\mathbb{6}"
"unicode-math_\120798","\Bbbsix"
"bbold_\120799","\mathbb{7}"
"unicode-math_\120799","\Bbbseven"
"bbold_\120800","\mathbb{8}"
"unicode-math_\120800","\Bbbeight"
"bbold_\120801","\mathbb{9}"
"unicode-math_\120801","\Bbbnine"
"base_\120802","\mathsf{0}"
"unicode-math_\120802","\msanszero"
"base_\120803","\mathsf{1}"
"unicode-math_\120803","\msansone"
"base_\120804","\mathsf{2}"
"unicode-math_\120804","\msanstwo"
"base_\120805","\mathsf{3}"
"unicode-math_\120805","\msansthree"
"base_\120806","\mathsf{4}"
"unicode-math_\120806","\msansfour"
"base_\120807","\mathsf{5}"
"unicode-math_\120807","\msansfive"
"base_\120808","\mathsf{6}"
"unicode-math_\120808","\msanssix"
"base_\120809","\mathsf{7}"
"unicode-math_\120809","\msansseven"
"base_\120810","\mathsf{8}"
"unicode-math_\120810","\msanseight"
"base_\120811","\mathsf{9}"
"unicode-math_\120811","\msansnine"
"mathsfbf_\120812","\mathsfbf{0}"
"unicode-math_\120812","\mbfsanszero"
"mathsfbf_\120813","\mathsfbf{1}"
"unicode-math_\120813","\mbfsansone"
"mathsfbf_\120814","\mathsfbf{2}"
"unicode-math_\120814","\mbfsanstwo"
"mathsfbf_\120815","\mathsfbf{3}"
"unicode-math_\120815","\mbfsansthree"
"mathsfbf_\120816","\mathsfbf{4}"
"unicode-math_\120816","\mbfsansfour"
"mathsfbf_\120817","\mathsfbf{5}"
"unicode-math_\120817","\mbfsansfive"
"mathsfbf_\120818","\mathsfbf{6}"
"unicode-math_\120818","\mbfsanssix"
"mathsfbf_\120819","\mathsfbf{7}"
"unicode-math_\120819","\mbfsansseven"
"mathsfbf_\120820","\mathsfbf{8}"
"unicode-math_\120820","\mbfsanseight"
"mathsfbf_\120821","\mathsfbf{9}"
"unicode-math_\120821","\mbfsansnine"
"base_\120822","\mathtt{0}"
"unicode-math_\120822","\mttzero"
"base_\120823","\mathtt{1}"
"unicode-math_\120823","\mttone"
"base_\120824","\mathtt{2}"
"unicode-math_\120824","\mtttwo"
"base_\120825","\mathtt{3}"
"unicode-math_\120825","\mttthree"
"base_\120826","\mathtt{4}"
"unicode-math_\120826","\mttfour"
"base_\120827","\mathtt{5}"
"unicode-math_\120827","\mttfive"
"base_\120828","\mathtt{6}"
"unicode-math_\120828","\mttsix"
"base_\120829","\mathtt{7}"
"unicode-math_\120829","\mttseven"
"base_\120830","\mathtt{8}"
"unicode-math_\120830","\mtteight"
"base_\120831","\mathtt{9}"
"unicode-math_\120831","\mttnine"
